Carimbo de data/hora,study_ID,Sex,Age,Occupation,How often do you play video games?,Do you enjoy games that offer companions to aid your journeys?,Please tell us the companion you will play now, [I felt schadenfreude (malicious delight)], [I felt revengeful], [I felt jealous about the other], [I felt connected to the other], [I influenced the mood of the other], [What the other did affected what I did], [I found it enjoyable to be with the other], [I was influenced by the other moods], [What I did affected what the other did], [The other paid close attention to me], [I empathized with the other(s)]," [When the other was happy, I was happy]", [My actions depended on the other actions], [I paid close attention to the other], [The other's actions were dependent on my actions]," [When I was happy, the other was happy]", [I admired the other],"Regarding frequence, how much did your companion use the following effects? [Nerf your enemies]","Regarding frequence, how much did your companion use the following effects? [Buff his enemies]","Regarding frequence, how much did your companion use the following effects? [Buff your enemies]","Regarding frequence, how much did your companion use the following effects? [Nerf his enemies]", [I rate my experience playing side by side with this companions as],Please tell us the companion you will play now, [I empathized with the other(s)], [My actions depended on the other actions], [The other's actions were dependent on my actions], [I felt connected to the other], [The other paid close attention to me], [I paid close attention to the other], [I felt jealous about the other], [I found it enjoyable to be with the other]," [When I was happy, the other was happy]"," [When the other was happy, I was happy]", [I influenced the mood of the other], [I was influenced by the other moods], [I admired the other], [What the other did affected what I did], [What I did affected what the other did], [I felt revengeful], [I felt schadenfreude (malicious delight)],"Regarding frequence, how much did your companion use the following effects? [Nerf his enemies]","Regarding frequence, how much did your companion use the following effects? [Buff his enemies]","Regarding frequence, how much did your companion use the following effects? [Nerf your enemies]","Regarding frequence, how much did your companion use the following effects? [Buff your enemies]", [I rate my experience playing side by side with this companions as],Please tell us the companion you will play now, [What the other did affected what I did], [I paid close attention to the other], [I felt schadenfreude (malicious delight)], [I empathized with the other(s)]," [When the other was happy, I was happy]"," [When I was happy, the other was happy]", [I found it enjoyable to be with the other], [I felt jealous about the other], [I was influenced by the other moods], [My actions depended on the other actions], [I influenced the mood of the other], [What I did affected what the other did], [I felt revengeful], [I admired the other], [The other paid close attention to me], [The other's actions were dependent on my actions], [I felt connected to the other],"Regarding frequence, how much did your companion use the following effects? [Buff your enemies]","Regarding frequence, how much did your companion use the following effects? [Buff his enemies]","Regarding frequence, how much did your companion use the following effects? [Nerf his enemies]","Regarding frequence, how much did your companion use the following effects? [Nerf your enemies]", [I rate my experience playing side by side with this companions as],Please tell us the companion you will play now, [I empathized with the other(s)], [My actions depended on the other actions], [The other's actions were dependent on my actions], [I felt connected to the other], [The other paid close attention to me], [I paid close attention to the other], [I felt jealous about the other], [I found it enjoyable to be with the other]," [When I was happy, the other was happy]"," [When the other was happy, I was happy]", [I influenced the mood of the other], [I was influenced by the other moods], [I admired the other], [What the other did affected what I did], [What I did affected what the other did], [I felt revengeful], [I felt schadenfreude (malicious delight)],"Regarding frequence, how much did your companion use the following effects? [Buff his enemies]","Regarding frequence, how much did your companion use the following effects? [Nerf his enemies]","Regarding frequence, how much did your companion use the following effects? [Nerf your enemies]","Regarding frequence, how much did your companion use the following effects? [Buff your enemies]", [I rate my experience playing side by side with this companions as],Please tell us the companion you will play now, [I enjoyed doing this activity very much.], [This activity was fun to do.], [I thought this was a boring activity.], [This activity did not hold my attention at all.], [I would describe this activity as very interesting.], [I thought this activity was quite enjoyable.]," [While I was doing this activity, I was thinking about how much I enjoyed it.]","Regading utility, rate the following effects throughout the experiment [Buff my enemies]","Regading utility, rate the following effects throughout the experiment [Nerf my enemies]","Regading utility, rate the following effects throughout the experiment [Buff my companion's enemies]","Regading utility, rate the following effects throughout the experiment [Nerf my companion's enemies]",Identify each companion regarding their interaction model's quadrant. [A],Identify each companion regarding their interaction model's quadrant. [B],Identify each companion regarding their interaction model's quadrant. [C],Identify each companion regarding their interaction model's quadrant. [D], [I see myself as a]
2023/09/15 2:38:45 da tarde CET,36,Masculine,18,Student,I make some time in my schedule to play video games.,I played/watched others play them enough to understand I do not appreciate them.,C,0 <not at all>,0 <not at all>,0 <not at all>,3 <fairly>,0 <not at all>,1 <slightly>,3 <fairly>,1 <slightly>,0 <not at all>,0 <not at all>,3 <fairly>,3 <fairly>,2 <moderately>,1 <slightly>,0 <not at all>,1 <slightly>,2 <moderately>,2,5 <Almost all of the time>,3 <Sometimes>,2,6,D,3 <fairly>,2 <moderately>,2 <moderately>,3 <fairly>,3 <fairly>,2 <moderately>,0 <not at all>,3 <fairly>,3 <fairly>,3 <fairly>,4 <extremely>,3 <fairly>,2 <moderately>,2 <moderately>,1 <slightly>,0 <not at all>,0 <not at all>,3 <Sometimes>,2,5 <Almost all of the time>,1 <Not at all>,6,A,2 <moderately>,2 <moderately>,2 <moderately>,1 <slightly>,2 <moderately>,3 <fairly>,1 <slightly>,0 <not at all>,2 <moderately>,1 <slightly>,0 <not at all>,1 <slightly>,2 <moderately>,1 <slightly>,3 <fairly>,0 <not at all>,1 <slightly>,5 <Almost all of the time>,3 <Sometimes>,2,2,4 <Neutral>,B,4 <extremely>,3 <fairly>,4 <extremely>,3 <fairly>,3 <fairly>,2 <moderately>,0 <not at all>,4 <extremely>,4 <extremely>,3 <fairly>,3 <fairly>,2 <moderately>,3 <fairly>,2 <moderately>,4 <extremely>,0 <not at all>,0 <not at all>,3 <Sometimes>,3 <Sometimes>,4,3 <Sometimes>,7 <Extremely pleasant>,I've played with all 4 (four) companions,5,5,5,3,3,4 <somewhat true>,2,3 <Neither useful or useless>,5 <Extremely useful>,4 <Somewhat useful>,5 <Extremely useful>,Self Challenger,Self Facilitator,Others' Challenger,Other's Facilitator,Self Facilitator
2023/09/15 3:40:36 da tarde CET,37,Masculine,18,Student,I play video games occasionally when the opportunity presents itself.,I enjoy them and have played/watched others play them multiple times.,C,1 <slightly>,0 <not at all>,2 <moderately>,1 <slightly>,1 <slightly>,3 <fairly>,2 <moderately>,3 <fairly>,0 <not at all>,0 <not at all>,1 <slightly>,1 <slightly>,1 <slightly>,2 <moderately>,1 <slightly>,1 <slightly>,3 <fairly>,1 <Not at all>,5 <Almost all of the time>,3 <Sometimes>,1 <Not at all>,6,D,3 <fairly>,3 <fairly>,3 <fairly>,2 <moderately>,3 <fairly>,2 <moderately>,0 <not at all>,3 <fairly>,2 <moderately>,0 <not at all>,3 <fairly>,1 <slightly>,0 <not at all>,0 <not at all>,4 <extremely>,0 <not at all>,2 <moderately>,3 <Sometimes>,1 <Not at all>,4,1 <Not at all>,6,A,2 <moderately>,2 <moderately>,0 <not at all>,2 <moderately>,2 <moderately>,2 <moderately>,4 <extremely>,0 <not at all>,1 <slightly>,1 <slightly>,2 <moderately>,3 <fairly>,0 <not at all>,0 <not at all>,3 <fairly>,3 <fairly>,3 <fairly>,4,3 <Sometimes>,3 <Sometimes>,3 <Sometimes>,5,B,3 <fairly>,1 <slightly>,3 <fairly>,3 <fairly>,3 <fairly>,1 <slightly>,0 <not at all>,3 <fairly>,3 <fairly>,0 <not at all>,3 <fairly>,0 <not at all>,0 <not at all>,1 <slightly>,3 <fairly>,0 <not at all>,0 <not at all>,2,3 <Sometimes>,4,2,6,I've played with all 4 (four) companions,6,6,1 <not true at all>,1 <not true at all>,5,5,5,3 <Neither useful or useless>,5 <Extremely useful>,3 <Neither useful or useless>,4 <Somewhat useful>,Self Challenger,Others' Challenger,Self Facilitator,Other's Facilitator,Self Facilitator
2023/09/15 4:17:05 da tarde CET,38,Feminine,21,Student,I play video games occasionally when the opportunity presents itself.,I am not familiar with these games and/or have no formed opinion on them.,D,0 <not at all>,0 <not at all>,1 <slightly>,1 <slightly>,0 <not at all>,1 <slightly>,1 <slightly>,0 <not at all>,0 <not at all>,0 <not at all>,0 <not at all>,0 <not at all>,1 <slightly>,1 <slightly>,0 <not at all>,0 <not at all>,3 <fairly>,1 <Not at all>,5 <Almost all of the time>,1 <Not at all>,1 <Not at all>,3,C,0 <not at all>,0 <not at all>,0 <not at all>,0 <not at all>,0 <not at all>,1 <slightly>,0 <not at all>,0 <not at all>,0 <not at all>,0 <not at all>,0 <not at all>,0 <not at all>,1 <slightly>,0 <not at all>,1 <slightly>,1 <slightly>,1 <slightly>,5 <Almost all of the time>,1 <Not at all>,2,2,3,I've played with all 4 (four) companions,1 <slightly>,2 <moderately>,1 <slightly>,0 <not at all>,0 <not at all>,0 <not at all>,0 <not at all>,0 <not at all>,0 <not at all>,0 <not at all>,0 <not at all>,0 <not at all>,1 <slightly>,0 <not at all>,0 <not at all>,0 <not at all>,0 <not at all>,5 <Almost all of the time>,1 <Not at all>,2,1 <Not at all>,2,B,2 <moderately>,2 <moderately>,2 <moderately>,3 <fairly>,1 <slightly>,2 <moderately>,0 <not at all>,3 <fairly>,0 <not at all>,0 <not at all>,0 <not at all>,0 <not at all>,1 <slightly>,2 <moderately>,3 <fairly>,0 <not at all>,0 <not at all>,1 <Not at all>,2,4,2,5,A,4 <somewhat true>,4 <somewhat true>,3,1 <not true at all>,4 <somewhat true>,4 <somewhat true>,2,2 <Somewhat useless>,5 <Extremely useful>,3 <Neither useful or useless>,4 <Somewhat useful>,Self Challenger,Self Facilitator,Others' Challenger,Other's Facilitator,Self Facilitator
2023/09/15 5:13:43 da tarde CET,39,Masculine,19,Student,I make some time in my schedule to play video games.,I played/watched others play them enough to understand I do not appreciate them.,A,3 <fairly>,4 <extremely>,0 <not at all>,2 <moderately>,0 <not at all>,4 <extremely>,0 <not at all>,1 <slightly>,0 <not at all>,0 <not at all>,0 <not at all>,2 <moderately>,4 <extremely>,4 <extremely>,0 <not at all>,2 <moderately>,0 <not at all>,2,3 <Sometimes>,4,2,3,B,4 <extremely>,4 <extremely>,3 <fairly>,4 <extremely>,4 <extremely>,4 <extremely>,0 <not at all>,4 <extremely>,4 <extremely>,4 <extremely>,2 <moderately>,4 <extremely>,4 <extremely>,4 <extremely>,4 <extremely>,0 <not at all>,0 <not at all>,4,1 <Not at all>,4,1 <Not at all>,7 <Extremely pleasant>,C,1 <slightly>,4 <extremely>,2 <moderately>,0 <not at all>,0 <not at all>,0 <not at all>,0 <not at all>,0 <not at all>,3 <fairly>,0 <not at all>,4 <extremely>,4 <extremely>,2 <moderately>,0 <not at all>,4 <extremely>,4 <extremely>,3 <fairly>,5 <Almost all of the time>,1 <Not at all>,1 <Not at all>,1 <Not at all>,2,D,4 <extremely>,0 <not at all>,2 <moderately>,4 <extremely>,4 <extremely>,4 <extremely>,0 <not at all>,4 <extremely>,4 <extremely>,2 <moderately>,0 <not at all>,0 <not at all>,4 <extremely>,4 <extremely>,0 <not at all>,0 <not at all>,0 <not at all>,1 <Not at all>,2,5 <Almost all of the time>,1 <Not at all>,7 <Extremely pleasant>,I've played with all 4 (four) companions,7 <very true>,7 <very true>,1 <not true at all>,1 <not true at all>,7 <very true>,7 <very true>,7 <very true>,3 <Neither useful or useless>,3 <Neither useful or useless>,3 <Neither useful or useless>,3 <Neither useful or useless>,Self Challenger,Self Facilitator,Others' Challenger,Other's Facilitator,Others' Challenger
2023/09/19 11:57:57 da manhã CET,40,Masculine,18,Student,I play video games occasionally when the opportunity presents itself.,I played/watched others play them enough to understand I do not appreciate them.,D,2 <moderately>,2 <moderately>,0 <not at all>,0 <not at all>,0 <not at all>,4 <extremely>,0 <not at all>,3 <fairly>,0 <not at all>,0 <not at all>,0 <not at all>,0 <not at all>,1 <slightly>,0 <not at all>,0 <not at all>,0 <not at all>,0 <not at all>,1 <Not at all>,4,3 <Sometimes>,1 <Not at all>,1 <Extremely unpleasant>,I've played with all 4 (four) companions,0 <not at all>,1 <slightly>,0 <not at all>,0 <not at all>,1 <slightly>,2 <moderately>,0 <not at all>,1 <slightly>,1 <slightly>,1 <slightly>,1 <slightly>,3 <fairly>,0 <not at all>,2 <moderately>,1 <slightly>,2 <moderately>,1 <slightly>,2,3 <Sometimes>,2,1 <Not at all>,1 <Extremely unpleasant>,A,3 <fairly>,2 <moderately>,0 <not at all>,3 <fairly>,3 <fairly>,2 <moderately>,1 <slightly>,0 <not at all>,1 <slightly>,3 <fairly>,1 <slightly>,2 <moderately>,0 <not at all>,0 <not at all>,2 <moderately>,1 <slightly>,2 <moderately>,4,3 <Sometimes>,3 <Sometimes>,4,6,B,3 <fairly>,1 <slightly>,0 <not at all>,2 <moderately>,1 <slightly>,2 <moderately>,0 <not at all>,4 <extremely>,3 <fairly>,2 <moderately>,1 <slightly>,0 <not at all>,3 <fairly>,0 <not at all>,1 <slightly>,0 <not at all>,0 <not at all>,3 <Sometimes>,4,3 <Sometimes>,2,4 <Neutral>,C,6,5,1 <not true at all>,1 <not true at all>,6,5,6,1 <Extremely useless>,4 <Somewhat useful>,3 <Neither useful or useless>,5 <Extremely useful>,Self Challenger,Others' Challenger,Self Facilitator,Other's Facilitator,Others' Facilitator
2023/09/19 12:33:30 da tarde CET,41,Masculine,18,Student,I play video games occasionally when the opportunity presents itself.,I am not familiar with these games and/or have no formed opinion on them.,C,1 <slightly>,1 <slightly>,2 <moderately>,2 <moderately>,3 <fairly>,1 <slightly>,3 <fairly>,2 <moderately>,3 <fairly>,3 <fairly>,3 <fairly>,2 <moderately>,0 <not at all>,3 <fairly>,2 <moderately>,3 <fairly>,3 <fairly>,2,1 <Not at all>,3 <Sometimes>,5 <Almost all of the time>,6,D,3 <fairly>,3 <fairly>,3 <fairly>,4 <extremely>,4 <extremely>,4 <extremely>,0 <not at all>,3 <fairly>,3 <fairly>,3 <fairly>,3 <fairly>,2 <moderately>,3 <fairly>,4 <extremely>,3 <fairly>,0 <not at all>,1 <slightly>,4,3 <Sometimes>,1 <Not at all>,2,6,A,2 <moderately>,1 <slightly>,2 <moderately>,1 <slightly>,1 <slightly>,1 <slightly>,1 <slightly>,4 <extremely>,0 <not at all>,2 <moderately>,1 <slightly>,3 <fairly>,2 <moderately>,1 <slightly>,4 <extremely>,2 <moderately>,3 <fairly>,5 <Almost all of the time>,5 <Almost all of the time>,1 <Not at all>,1 <Not at all>,3,B,1 <slightly>,0 <not at all>,3 <fairly>,1 <slightly>,3 <fairly>,3 <fairly>,0 <not at all>,2 <moderately>,1 <slightly>,1 <slightly>,2 <moderately>,4 <extremely>,1 <slightly>,1 <slightly>,3 <fairly>,2 <moderately>,3 <fairly>,1 <Not at all>,1 <Not at all>,4,3 <Sometimes>,4 <Neutral>,I've played with all 4 (four) companions,7 <very true>,7 <very true>,1 <not true at all>,1 <not true at all>,7 <very true>,7 <very true>,5,4 <Somewhat useful>,4 <Somewhat useful>,3 <Neither useful or useless>,3 <Neither useful or useless>,Self Facilitator,Other's Facilitator,Others' Challenger,Self Challenger,Self Facilitator
2023/09/19 2:52:40 da tarde CET,42,Masculine,17,Student,I play video games occasionally when the opportunity presents itself.,I enjoy them and have played/watched others play them multiple times.,B,0 <not at all>,0 <not at all>,2 <moderately>,3 <fairly>,3 <fairly>,3 <fairly>,2 <moderately>,0 <not at all>,2 <moderately>,3 <fairly>,3 <fairly>,3 <fairly>,3 <fairly>,2 <moderately>,2 <moderately>,3 <fairly>,2 <moderately>,3 <Sometimes>,4,3 <Sometimes>,2,5,C,0 <not at all>,1 <slightly>,2 <moderately>,0 <not at all>,1 <slightly>,2 <moderately>,2 <moderately>,1 <slightly>,0 <not at all>,0 <not at all>,1 <slightly>,2 <moderately>,0 <not at all>,1 <slightly>,2 <moderately>,1 <slightly>,1 <slightly>,3 <Sometimes>,2,2,3 <Sometimes>,2,A,4 <extremely>,3 <fairly>,1 <slightly>,0 <not at all>,0 <not at all>,0 <not at all>,0 <not at all>,4 <extremely>,3 <fairly>,2 <moderately>,2 <moderately>,2 <moderately>,2 <moderately>,0 <not at all>,0 <not at all>,1 <slightly>,0 <not at all>,5 <Almost all of the time>,1 <Not at all>,1 <Not at all>,1 <Not at all>,2,D,4 <extremely>,4 <extremely>,2 <moderately>,4 <extremely>,4 <extremely>,4 <extremely>,0 <not at all>,4 <extremely>,3 <fairly>,3 <fairly>,2 <moderately>,3 <fairly>,4 <extremely>,4 <extremely>,3 <fairly>,0 <not at all>,0 <not at all>,4,1 <Not at all>,5 <Almost all of the time>,1 <Not at all>,7 <Extremely pleasant>,I've played with all 4 (four) companions,6,6,2,1 <not true at all>,6,5,3,2 <Somewhat useless>,5 <Extremely useful>,4 <Somewhat useful>,5 <Extremely useful>,Self Facilitator,Self Challenger,Others' Challenger,Other's Facilitator,Self Facilitator
2023/09/19 3:59:59 da tarde CET,43,Masculine,18,Student,I play video games occasionally when the opportunity presents itself.,I am not familiar with these games and/or have no formed opinion on them.,B,1 <slightly>,2 <moderately>,0 <not at all>,0 <not at all>,0 <not at all>,3 <fairly>,0 <not at all>,2 <moderately>,0 <not at all>,1 <slightly>,0 <not at all>,0 <not at all>,3 <fairly>,2 <moderately>,0 <not at all>,0 <not at all>,0 <not at all>,1 <Not at all>,5 <Almost all of the time>,2,2,3,I've played with all 4 (four) companions,2 <moderately>,0 <not at all>,1 <slightly>,0 <not at all>,1 <slightly>,0 <not at all>,0 <not at all>,2 <moderately>,3 <fairly>,3 <fairly>,0 <not at all>,0 <not at all>,0 <not at all>,0 <not at all>,2 <moderately>,0 <not at all>,2 <moderately>,4,2,3 <Sometimes>,2,5,D,4 <extremely>,3 <fairly>,0 <not at all>,0 <not at all>,0 <not at all>,0 <not at all>,0 <not at all>,0 <not at all>,4 <extremely>,3 <fairly>,4 <extremely>,4 <extremely>,2 <moderately>,0 <not at all>,2 <moderately>,3 <fairly>,0 <not at all>,5 <Almost all of the time>,1 <Not at all>,5 <Almost all of the time>,4,4 <Neutral>,A,3 <fairly>,2 <moderately>,3 <fairly>,3 <fairly>,3 <fairly>,1 <slightly>,0 <not at all>,3 <fairly>,4 <extremely>,4 <extremely>,1 <slightly>,4 <extremely>,0 <not at all>,4 <extremely>,0 <not at all>,0 <not at all>,0 <not at all>,1 <Not at all>,1 <Not at all>,5 <Almost all of the time>,1 <Not at all>,6,C,5,7 <very true>,3,2,4 <somewhat true>,4 <somewhat true>,1 <not true at all>,1 <Extremely useless>,5 <Extremely useful>,2 <Somewhat useless>,5 <Extremely useful>,Self Challenger,Self Facilitator,Others' Challenger,Other's Facilitator,Others' Facilitator
2023/09/19 4:48:24 da tarde CET,44,Masculine,17,Student,I play video games occasionally when the opportunity presents itself.,I enjoy them and have played/watched others play them multiple times.,A,0 <not at all>,0 <not at all>,0 <not at all>,3 <fairly>,2 <moderately>,4 <extremely>,3 <fairly>,3 <fairly>,3 <fairly>,3 <fairly>,4 <extremely>,2 <moderately>,3 <fairly>,4 <extremely>,3 <fairly>,2 <moderately>,1 <slightly>,4,4,3 <Sometimes>,3 <Sometimes>,5,C,2 <moderately>,3 <fairly>,3 <fairly>,1 <slightly>,2 <moderately>,3 <fairly>,0 <not at all>,2 <moderately>,1 <slightly>,1 <slightly>,2 <moderately>,3 <fairly>,0 <not at all>,4 <extremely>,2 <moderately>,1 <slightly>,0 <not at all>,5 <Almost all of the time>,1 <Not at all>,2,3 <Sometimes>,3,D,4 <extremely>,3 <fairly>,3 <fairly>,0 <not at all>,0 <not at all>,0 <not at all>,0 <not at all>,0 <not at all>,3 <fairly>,1 <slightly>,0 <not at all>,3 <fairly>,3 <fairly>,0 <not at all>,1 <slightly>,3 <fairly>,0 <not at all>,5 <Almost all of the time>,1 <Not at all>,2,1 <Not at all>,1 <Extremely unpleasant>,B,3 <fairly>,2 <moderately>,2 <moderately>,3 <fairly>,2 <moderately>,3 <fairly>,0 <not at all>,3 <fairly>,3 <fairly>,3 <fairly>,3 <fairly>,3 <fairly>,2 <moderately>,3 <fairly>,3 <fairly>,0 <not at all>,0 <not at all>,1 <Not at all>,1 <Not at all>,5 <Almost all of the time>,2,6,I've played with all 4 (four) companions,7 <very true>,7 <very true>,1 <not true at all>,1 <not true at all>,7 <very true>,7 <very true>,7 <very true>,2 <Somewhat useless>,5 <Extremely useful>,2 <Somewhat useless>,5 <Extremely useful>,Self Challenger,Self Facilitator,Others' Challenger,Other's Facilitator,Others' Facilitator
2023/09/20 12:35:55 da tarde CET,45,Masculine,18,Student,I play video games occasionally when the opportunity presents itself.,I am not familiar with these games and/or have no formed opinion on them.,C,2 <moderately>,2 <moderately>,0 <not at all>,0 <not at all>,1 <slightly>,2 <moderately>,1 <slightly>,3 <fairly>,2 <moderately>,0 <not at all>,1 <slightly>,0 <not at all>,1 <slightly>,3 <fairly>,3 <fairly>,3 <fairly>,1 <slightly>,2,5 <Almost all of the time>,2,1 <Not at all>,2,D,2 <moderately>,1 <slightly>,2 <moderately>,2 <moderately>,2 <moderately>,3 <fairly>,0 <not at all>,3 <fairly>,2 <moderately>,2 <moderately>,4 <extremely>,3 <fairly>,2 <moderately>,1 <slightly>,1 <slightly>,0 <not at all>,0 <not at all>,4,1 <Not at all>,3 <Sometimes>,1 <Not at all>,5,I've played with all 4 (four) companions,3 <fairly>,2 <moderately>,1 <slightly>,2 <moderately>,2 <moderately>,3 <fairly>,4 <extremely>,0 <not at all>,3 <fairly>,1 <slightly>,1 <slightly>,2 <moderately>,0 <not at all>,1 <slightly>,3 <fairly>,1 <slightly>,3 <fairly>,4,2,3 <Sometimes>,2,5,A,4 <extremely>,3 <fairly>,3 <fairly>,4 <extremely>,4 <extremely>,4 <extremely>,0 <not at all>,3 <fairly>,2 <moderately>,3 <fairly>,2 <moderately>,3 <fairly>,3 <fairly>,3 <fairly>,2 <moderately>,0 <not at all>,0 <not at all>,1 <Not at all>,2,5 <Almost all of the time>,2,7 <Extremely pleasant>,B,7 <very true>,7 <very true>,2,3,4 <somewhat true>,5,4 <somewhat true>,1 <Extremely useless>,5 <Extremely useful>,1 <Extremely useless>,5 <Extremely useful>,Self Challenger,Self Facilitator,Others' Challenger,Other's Facilitator,Self Facilitator
2023/09/20 3:51:02 da tarde CET,46,Masculine,18,Student,I make some time in my schedule to play video games.,I am not familiar with these games and/or have no formed opinion on them.,A,0 <not at all>,0 <not at all>,0 <not at all>,3 <fairly>,2 <moderately>,2 <moderately>,3 <fairly>,1 <slightly>,2 <moderately>,1 <slightly>,3 <fairly>,4 <extremely>,2 <moderately>,1 <slightly>,1 <slightly>,4 <extremely>,2 <moderately>,3 <Sometimes>,3 <Sometimes>,3 <Sometimes>,3 <Sometimes>,5,B,3 <fairly>,3 <fairly>,0 <not at all>,2 <moderately>,0 <not at all>,3 <fairly>,0 <not at all>,3 <fairly>,4 <extremely>,4 <extremely>,0 <not at all>,3 <fairly>,1 <slightly>,4 <extremely>,0 <not at all>,0 <not at all>,1 <slightly>,5 <Almost all of the time>,1 <Not at all>,1 <Not at all>,4,5,C,3 <fairly>,3 <fairly>,0 <not at all>,1 <slightly>,4 <extremely>,4 <extremely>,1 <slightly>,0 <not at all>,2 <moderately>,3 <fairly>,2 <moderately>,3 <fairly>,0 <not at all>,1 <slightly>,3 <fairly>,2 <moderately>,2 <moderately>,5 <Almost all of the time>,1 <Not at all>,3 <Sometimes>,1 <Not at all>,4 <Neutral>,D,2 <moderately>,2 <moderately>,0 <not at all>,2 <moderately>,0 <not at all>,3 <fairly>,0 <not at all>,3 <fairly>,4 <extremely>,4 <extremely>,1 <slightly>,3 <fairly>,0 <not at all>,3 <fairly>,1 <slightly>,0 <not at all>,0 <not at all>,1 <Not at all>,1 <Not at all>,5 <Almost all of the time>,2,6,I've played with all 4 (four) companions,4 <somewhat true>,4 <somewhat true>,3,3,4 <somewhat true>,4 <somewhat true>,3,3 <Neither useful or useless>,4 <Somewhat useful>,4 <Somewhat useful>,4 <Somewhat useful>,Self Challenger,Self Facilitator,Others' Challenger,Other's Facilitator,Self Facilitator
2023/09/20 4:38:06 da tarde CET,47,Masculine,19,Student,I make some time in my schedule to play video games.,I enjoy them and have played/watched others play them multiple times.,A,2 <moderately>,3 <fairly>,0 <not at all>,1 <slightly>,2 <moderately>,2 <moderately>,1 <slightly>,1 <slightly>,1 <slightly>,2 <moderately>,1 <slightly>,2 <moderately>,0 <not at all>,0 <not at all>,0 <not at all>,2 <moderately>,0 <not at all>,2,3 <Sometimes>,2,3 <Sometimes>,4 <Neutral>,B,1 <slightly>,0 <not at all>,0 <not at all>,0 <not at all>,0 <not at all>,1 <slightly>,0 <not at all>,1 <slightly>,1 <slightly>,1 <slightly>,0 <not at all>,2 <moderately>,1 <slightly>,0 <not at all>,0 <not at all>,2 <moderately>,2 <moderately>,3 <Sometimes>,2,2,2,3,C,0 <not at all>,0 <not at all>,2 <moderately>,0 <not at all>,0 <not at all>,0 <not at all>,0 <not at all>,0 <not at all>,2 <moderately>,0 <not at all>,0 <not at all>,0 <not at all>,2 <moderately>,1 <slightly>,0 <not at all>,0 <not at all>,0 <not at all>,2,2,2,2,4 <Neutral>,D,1 <slightly>,0 <not at all>,0 <not at all>,0 <not at all>,0 <not at all>,0 <not at all>,1 <slightly>,0 <not at all>,0 <not at all>,0 <not at all>,0 <not at all>,0 <not at all>,0 <not at all>,0 <not at all>,0 <not at all>,2 <moderately>,2 <moderately>,2,2,2,2,4 <Neutral>,I've played with all 4 (four) companions,4 <somewhat true>,4 <somewhat true>,3,3,2,3,1 <not true at all>,2 <Somewhat useless>,3 <Neither useful or useless>,1 <Extremely useless>,1 <Extremely useless>,Self Facilitator,Other's Facilitator,Others' Challenger,Self Challenger,Self Challenger
2023/09/20 5:27:57 da tarde CET,48,Masculine,21,Student,I play video games occasionally when the opportunity presents itself.,I enjoy them and have played/watched others play them multiple times.,B,0 <not at all>,0 <not at all>,0 <not at all>,2 <moderately>,4 <extremely>,1 <slightly>,3 <fairly>,0 <not at all>,1 <slightly>,2 <moderately>,3 <fairly>,2 <moderately>,4 <extremely>,2 <moderately>,2 <moderately>,3 <fairly>,3 <fairly>,2,5 <Almost all of the time>,1 <Not at all>,2,6,I've played with all 4 (four) companions,3 <fairly>,3 <fairly>,2 <moderately>,3 <fairly>,4 <extremely>,3 <fairly>,0 <not at all>,3 <fairly>,2 <moderately>,2 <moderately>,0 <not at all>,2 <moderately>,3 <fairly>,2 <moderately>,1 <slightly>,0 <not at all>,0 <not at all>,2,1 <Not at all>,1 <Not at all>,4,6,C,4 <extremely>,3 <fairly>,0 <not at all>,1 <slightly>,0 <not at all>,0 <not at all>,1 <slightly>,3 <fairly>,3 <fairly>,4 <extremely>,2 <moderately>,2 <moderately>,2 <moderately>,0 <not at all>,1 <slightly>,0 <not at all>,0 <not at all>,5 <Almost all of the time>,1 <Not at all>,2,1 <Not at all>,2,D,4 <extremely>,4 <extremely>,4 <extremely>,4 <extremely>,4 <extremely>,4 <extremely>,0 <not at all>,4 <extremely>,4 <extremely>,4 <extremely>,2 <moderately>,4 <extremely>,4 <extremely>,4 <extremely>,4 <extremely>,0 <not at all>,0 <not at all>,1 <Not at all>,2,4,3 <Sometimes>,6,A,7 <very true>,5,1 <not true at all>,1 <not true at all>,6,6,1 <not true at all>,5 <Extremely useful>,5 <Extremely useful>,2 <Somewhat useless>,4 <Somewhat useful>,Self Challenger,Others' Challenger,Self Facilitator,Other's Facilitator,Self Facilitator
